File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
173.csv;0.3511;0.0117;0.0041079;0.5051;0.015791;51.5029;4.5643
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
174.csv;0.351;0.00994;0.0034889;0.49647;0.013851;50.7367;3.8766
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
175.csv;0.201;0.00826;0.0016603;0.35294;0.010954;42.9441;1.8447
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
176.csv;0.2509;0.0097;0.0024337;0.42201;0.012852;44.8711;2.7041
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
177.csv;0.3507;0.01;0.003507;0.49666;0.014063;50.2097;3.8967
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
178.csv;0.351;0.01162;0.0040786;0.51799;0.015203;51.7931;4.5318
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
179.csv;0.351;0.01204;0.004226;0.51903;0.015789;51.5682;4.6956
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
180.csv;0.351;0.01174;0.0041207;0.51582;0.015966;50.0349;4.5786
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
181.csv;0.3509;0.01226;0.004302;0.52349;0.01595;51.5221;4.78
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
182.csv;0.3511;0.01178;0.004136;0.51909;0.01557;51.1725;4.5955
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
183.csv;0.351;0.01052;0.0036925;0.50028;0.014798;49.8787;4.1028
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
184.csv;0.3511;0.00986;0.0034618;0.49032;0.013937;50.6614;3.8465
